epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,337.317,2.02579,1.69679,1.47283,0.31877,0.28151,0.2408,0.08119,2.67983,2.0379,1.85532,0.000614,0.000614,0.000614
72,341.653,2.04541,1.68789,1.46102,0.35261,0.29288,0.25703,0.08172,2.66429,2.02756,1.87881,0.0005942,0.0005942,0.0005942
73,345.303,2.05023,1.67932,1.44965,0.35213,0.28108,0.25183,0.07989,2.67406,2.05142,1.88286,0.0005744,0.0005744,0.0005744
74,349.631,2.05334,1.67947,1.48622,0.32129,0.24606,0.20651,0.06644,2.75888,2.11588,1.94053,0.0005546,0.0005546,0.0005546
75,352.962,2.073,1.65697,1.48233,0.31197,0.27177,0.19753,0.06067,2.79944,2.1291,1.95732,0.0005348,0.0005348,0.0005348
76,356.443,2.01555,1.65843,1.43918,0.34118,0.26385,0.21699,0.06377,2.769,2.13092,1.95756,0.000515,0.000515,0.000515
77,359.828,2.03643,1.66355,1.46312,0.33467,0.26913,0.21265,0.06479,2.74714,2.12611,1.94144,0.0004952,0.0004952,0.0004952
78,363.191,2.00122,1.60305,1.43235,0.31877,0.28232,0.21674,0.06616,2.72815,2.15349,1.90792,0.0004754,0.0004754,0.0004754
79,366.729,2.11101,1.65204,1.47204,0.32522,0.28232,0.22331,0.06701,2.71778,2.13867,1.89565,0.0004556,0.0004556,0.0004556
80,370.55,2.02412,1.63359,1.42663,0.32581,0.29288,0.24531,0.07496,2.65595,2.09647,1.866,0.0004358,0.0004358,0.0004358
81,373.918,2.04149,1.64461,1.47348,0.30873,0.27441,0.25598,0.07643,2.64809,2.07631,1.83401,0.000416,0.000416,0.000416
82,377.355,1.96734,1.56892,1.40848,0.3118,0.26121,0.23852,0.07275,2.67055,2.07877,1.81957,0.0003962,0.0003962,0.0003962
83,381.114,1.94515,1.60447,1.41795,0.30416,0.27177,0.2322,0.06943,2.68653,2.0789,1.8293,0.0003764,0.0003764,0.0003764
84,385.479,1.95586,1.60968,1.42254,0.2962,0.31398,0.248,0.07446,2.69011,2.05552,1.83997,0.0003566,0.0003566,0.0003566
85,389.149,2.01742,1.60751,1.42817,0.32507,0.30079,0.25098,0.0744,2.68212,2.04606,1.83274,0.0003368,0.0003368,0.0003368
86,392.527,1.98347,1.59275,1.42818,0.33255,0.30343,0.25503,0.07731,2.66467,2.02663,1.83267,0.000317,0.000317,0.000317
87,396.887,2.02433,1.64147,1.44074,0.32542,0.29815,0.25075,0.0779,2.66632,2.02239,1.83023,0.0002972,0.0002972,0.0002972
88,401.387,1.94598,1.56377,1.39284,0.35739,0.31135,0.2673,0.08244,2.65834,2.02681,1.82478,0.0002774,0.0002774,0.0002774
89,404.72,1.93344,1.60786,1.40003,0.36655,0.32454,0.26937,0.08189,2.66075,2.02917,1.83129,0.0002576,0.0002576,0.0002576
90,409.069,1.95335,1.6195,1.40553,0.38209,0.29551,0.27003,0.08275,2.68095,2.0345,1.84048,0.0002378,0.0002378,0.0002378
91,425.577,2.11934,1.94573,1.52004,0.37439,0.29024,0.27552,0.08374,2.66532,2.03862,1.84072,0.000218,0.000218,0.000218
92,430.688,2.07394,1.84508,1.49014,0.38153,0.30079,0.27493,0.08366,2.63681,2.04607,1.85063,0.0001982,0.0001982,0.0001982
93,435.831,1.99104,1.73476,1.42542,0.36818,0.29367,0.25184,0.07533,2.63889,2.05089,1.86862,0.0001784,0.0001784,0.0001784
94,440.555,2.01044,1.70712,1.47848,0.33348,0.26649,0.23605,0.07098,2.64507,2.05683,1.89642,0.0001586,0.0001586,0.0001586
95,444.772,1.94612,1.6474,1.42498,0.31356,0.27968,0.23258,0.07294,2.64249,2.06062,1.8987,0.0001388,0.0001388,0.0001388
96,448.799,1.93983,1.6683,1.41684,0.34262,0.28232,0.25608,0.07937,2.63247,2.05964,1.88147,0.000119,0.000119,0.000119
97,452.943,1.95274,1.66403,1.41184,0.34266,0.26913,0.26204,0.08102,2.63907,2.05515,1.88066,9.92e-05,9.92e-05,9.92e-05
98,456.903,1.96351,1.64047,1.42531,0.35986,0.27441,0.26154,0.08263,2.65327,2.05306,1.88048,7.94e-05,7.94e-05,7.94e-05
99,460.767,1.97963,1.66222,1.44063,0.36022,0.28496,0.26466,0.08283,2.65797,2.05824,1.88156,5.96e-05,5.96e-05,5.96e-05
100,464.66,1.98582,1.6454,1.43682,0.36103,0.29288,0.26734,0.08392,2.65754,2.06346,1.87636,3.98e-05,3.98e-05,3.98e-05
