epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,337.311,2.17312,1.74518,1.4897,0.4152,0.36717,0.33964,0.14037,2.26147,1.82494,1.55919,0.0006932,0.0006932,0.0006932
68,340.861,2.16035,1.75638,1.5056,0.39199,0.37995,0.35606,0.15262,2.23676,1.79151,1.55093,0.0006734,0.0006734,0.0006734
69,344.731,2.14487,1.7883,1.49532,0.40264,0.36675,0.35756,0.15326,2.17897,1.77907,1.54888,0.0006536,0.0006536,0.0006536
70,348.756,2.12879,1.71292,1.46522,0.43665,0.37995,0.35464,0.15366,2.156,1.778,1.54557,0.0006338,0.0006338,0.0006338
71,352.84,2.24097,1.76354,1.50349,0.44064,0.37995,0.35759,0.1544,2.16649,1.76594,1.54872,0.000614,0.000614,0.000614
72,356.754,2.13792,1.72923,1.49648,0.45277,0.37203,0.36046,0.15852,2.13998,1.74311,1.52369,0.0005942,0.0005942,0.0005942
73,360.93,2.13451,1.68511,1.47479,0.43463,0.37931,0.35851,0.16132,2.17517,1.74838,1.54805,0.0005744,0.0005744,0.0005744
74,364.53,2.13628,1.68652,1.47821,0.39875,0.38786,0.3611,0.15059,2.28667,1.75692,1.58162,0.0005546,0.0005546,0.0005546
75,368.216,2.13378,1.66093,1.45646,0.39581,0.38522,0.36045,0.14801,2.31524,1.76277,1.58181,0.0005348,0.0005348,0.0005348
76,372.276,2.13601,1.69967,1.49262,0.41983,0.41689,0.38463,0.16501,2.21664,1.74853,1.54788,0.000515,0.000515,0.000515
77,376.283,2.19288,1.7217,1.49493,0.46218,0.40897,0.41269,0.17698,2.14529,1.72504,1.52278,0.0004952,0.0004952,0.0004952
78,379.998,2.17937,1.70752,1.48011,0.47407,0.37467,0.39128,0.17622,2.14506,1.7247,1.5307,0.0004754,0.0004754,0.0004754
79,383.715,2.13586,1.72508,1.49203,0.46044,0.36675,0.38398,0.17337,2.16188,1.71979,1.53346,0.0004556,0.0004556,0.0004556
80,387.499,2.12083,1.69982,1.49562,0.44173,0.37203,0.38051,0.16906,2.1782,1.71149,1.54881,0.0004358,0.0004358,0.0004358
81,391.325,2.11312,1.66161,1.45889,0.4868,0.39578,0.4047,0.17814,2.12133,1.68453,1.52629,0.000416,0.000416,0.000416
82,395.222,2.10682,1.75486,1.49543,0.47345,0.39578,0.41714,0.18349,2.07938,1.67809,1.50795,0.0003962,0.0003962,0.0003962
83,399.095,2.11976,1.69603,1.46346,0.47069,0.3905,0.41743,0.18719,2.07378,1.68391,1.5069,0.0003764,0.0003764,0.0003764
84,404.079,2.11489,1.67823,1.44177,0.45848,0.39578,0.41024,0.18875,2.09619,1.67877,1.51187,0.0003566,0.0003566,0.0003566
85,408.551,2.1367,1.70536,1.47621,0.45547,0.37995,0.39657,0.18066,2.11528,1.68833,1.50579,0.0003368,0.0003368,0.0003368
